,!=,#,(,),*,+,",",-,:,:=,;,<,<=,=,>,>=,and,call,do,else,goto,i,if,not,null,or,then,while,{,},<<BAND>>,<<BCMP>>,<<BEXPR>>,<<BNOT>>,<<ELIST>>,<<EXPR>>,<<FACTOR>>,<<ID>>,<<LABEL>>,<<NEG>>,<<OPENSTMT>>,<<RELOP>>,<<START>>,<<STMT>>,<<TERM>>,A,L,M,N,S,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s5,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,4,0,1,2,0,6,0,0,0,3,
1,0,acc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,r40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,r41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,r42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,15,17,14,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
6,0,r34,0,0,0,0,0,0,0,0,r34,0,0,0,0,0,0,0,0,r34,0,0,0,0,0,0,0,0,0,r34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,27,0,0,28,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,41,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,s46,s45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,r17,r17,r17,r17,r17,r17,r17,0,r17,r17,r17,r17,r17,r17,r17,r17,r17,0,r17,r17,0,0,0,0,0,r17,r17,0,0,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s48,s47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,r7,0,0,0,0,0,0,0,0,0,0,0,0,s49,0,r7,0,0,0,0,0,0,r7,r7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,r2,0,0,0,0,0,0,0,0,0,0,0,0,r2,0,r2,0,0,0,0,0,0,r2,r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,r9,0,0,0,0,0,0,0,0,0,0,0,0,r9,0,r9,0,0,0,0,0,0,r9,r9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,0,17,0,50,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
19,s61,0,0,r5,0,s66,0,0,0,0,0,s62,s63,s60,s64,s65,r5,0,r5,0,0,0,0,0,0,r5,r5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,
20,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,15,17,67,16,0,72,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
21,r13,r13,0,r13,0,r13,r13,0,0,0,r13,r13,r13,r13,r13,r13,r13,0,r13,r13,0,0,0,0,0,r13,r13,0,0,r13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,r23,r23,0,r23,s77,r23,r23,0,0,0,r23,r23,r23,r23,r23,r23,r23,0,r23,r23,0,0,0,0,0,r23,r23,0,0,r23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0,s81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,78,0,0,0,0,0,
24,r43,r43,0,r43,r43,r43,r43,0,0,0,r43,r43,r43,r43,r43,r43,r43,0,r43,r43,0,0,0,0,0,r43,r43,0,0,r43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,r15,r15,0,r15,r15,r15,r15,0,0,0,r15,r15,r15,r15,r15,r15,r15,0,r15,r15,0,0,0,0,0,r15,r15,0,0,r15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,s84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,r19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,15,17,85,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
37,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,15,17,99,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
38,0,0,r21,0,0,0,0,r21,0,0,0,0,0,0,0,0,0,r21,0,0,r21,r21,r21,r21,0,0,0,r21,r21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0,0,s107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,0,r38,0,0,0,0,0,0,0,0,r38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,0,r39,0,0,0,0,0,0,0,0,r39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,0,0,s81,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,109,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r20,0,0,r20,r20,r20,0,0,0,0,r20,r20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,
50,0,0,0,r10,0,0,0,0,0,0,0,0,0,0,0,0,r10,0,r10,0,0,0,0,0,0,r10,r10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,0,0,s81,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,127,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
60,0,0,r27,0,0,0,0,r27,0,0,0,0,0,0,0,0,0,0,0,0,0,r27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,0,0,r28,0,0,0,0,r28,0,0,0,0,0,0,0,0,0,0,0,0,0,r28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,0,0,r29,0,0,0,0,r29,0,0,0,0,0,0,0,0,0,0,0,0,0,r29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,0,0,r30,0,0,0,0,r30,0,0,0,0,0,0,0,0,0,0,0,0,0,r30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,0,0,r31,0,0,0,0,r31,0,0,0,0,0,0,0,0,0,0,0,0,0,r31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,0,0,r32,0,0,0,0,r32,0,0,0,0,0,0,0,0,0,0,0,0,0,r32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,0,0,s81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,135,0,0,0,0,0,
67,0,0,0,s136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,s61,0,0,r5,0,s66,0,0,0,0,0,s62,s63,s60,s64,s65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,
77,0,0,s81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,25,0,0,0,0,0,0,0,0,0,0,0,0,
78,r24,r24,0,r24,s77,r24,r24,0,0,0,r24,r24,r24,r24,r24,r24,r24,0,r24,0,0,0,0,0,0,r24,r24,0,0,r24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,0,0,s81,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,157,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
83,0,r35,0,0,0,0,0,0,0,0,r35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s48,s166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s181,0,0,0,0,0,0,s48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,0,0,s81,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,188,189,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
109,0,r1,0,0,0,s66,0,0,0,0,r1,0,0,0,0,0,0,0,0,r1,0,0,0,0,0,0,0,0,0,r1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s5,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,4,0,0,196,0,6,0,0,0,195,
118,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,197,17,0,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
119,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,s18,0,0,0,0,0,0,0,17,0,204,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
127,0,0,0,r4,0,s66,0,0,0,0,0,0,0,0,0,0,r4,0,r4,0,0,0,0,0,0,r4,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,r14,r14,0,r14,s77,r14,r14,0,0,0,r14,r14,r14,r14,r14,r14,r14,0,r14,0,0,0,0,0,0,r14,r14,0,0,r14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,0,0,0,r6,0,0,0,0,0,0,0,0,0,0,0,0,r6,0,r6,0,0,0,0,0,0,r6,r6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,r16,r16,0,r16,r16,r16,r16,0,0,0,r16,r16,r16,r16,r16,r16,r16,0,r16,0,0,0,0,0,0,r16,r16,0,0,r16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,r44,r44,0,r44,r44,r44,r44,0,0,0,r44,r44,r44,r44,r44,r44,r44,0,r44,0,0,0,0,0,0,r44,r44,0,0,r44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,0,0,0,s145,0,s66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,247,
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,
188,0,0,0,s290,0,0,s291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,0,0,0,r11,0,s66,r11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
195,0,r41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,
196,0,r25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,0,0,0,r8,0,0,0,0,0,0,0,0,0,0,0,0,s49,0,r8,0,0,0,0,0,0,r8,r8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,0,0,0,r3,0,0,0,0,0,0,0,0,0,0,0,0,r3,0,r3,0,0,0,0,0,0,r3,r3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
247,0,0,0,0,0,0,0,0,0,0,r18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,379,
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,410,
290,0,r37,0,0,0,0,0,0,0,0,r37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
291,0,0,s81,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,430,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,
410,0,r36,0,0,0,0,0,0,0,0,r36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
430,0,0,0,r12,0,s66,r12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s5,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,720,0,0,0,0,6,0,0,0,719,
648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,
719,0,r33,0,0,0,0,0,0,0,0,r33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
720,0,r26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,719,
